,Number of Tricycles,Number of Sectors,Intersection Algorithm,Number of Passengers,Total Trips Completed,Completion Rate,Average Wait Time,Average Travel Time,Total Distance,Productive Distance,Efficiency Percentage,Seed
496,5,6,smart,546,272,49.81684981684982,1043.1948529411766,126.84191176470588,191.4972172207882,139.40722746648197,72.79856568659758,8501172.0
497,15,8,basic,578,438,75.77854671280276,446.1826484018265,120.44520547945206,570.4652296069228,257.27928184986797,45.099905918393205,268048516.0
498,15,4,basic,564,431,76.41843971631207,441.5197215777262,125.74941995359629,570.0268525962415,253.46326154457967,44.4651441226246,194642212.0
499,20,4,basic,598,467,78.09364548494983,449.11777301927197,124.96573875802999,758.5546466878003,286.8866889188141,37.820174218363015,358368805.0
500,20,4,smart,557,472,84.73967684021544,392.13347457627117,132.33262711864407,759.4768126421905,294.5588259328663,38.78443963392477,460669441.0
501,15,6,basic,562,405,72.06405693950177,439.6469135802469,120.17283950617283,569.4308577796995,234.68448917419389,41.21386924643768,34346284.0
502,5,8,basic,591,324,54.82233502538071,1068.4413580246915,116.96604938271605,191.09466437698006,147.6949304330817,77.28888240527638,433498721.0
503,15,4,basic,581,414,71.25645438898451,467.25845410628017,128.0048309178744,569.8905256221295,248.30005488456223,43.56978116340884,153354925.0
504,10,8,smart,556,389,69.96402877697841,673.452442159383,124.80462724935732,381.6539201477988,225.62347201273485,59.11729451786063,708741215.0
505,15,4,smart,567,417,73.54497354497354,492.1606714628297,132.17985611510792,570.6386418813311,262.92288951101636,46.075198946252456,153044519.0
506,10,4,smart,583,388,66.55231560891939,567.8659793814433,124.52061855670104,381.2577371431045,217.45014563467913,57.03494629751199,153354925.0
507,15,8,basic,573,413,72.07678883071553,410.8401937046005,118.818401937046,569.5248558849163,243.26632381968727,42.713908147468814,34346284.0
508,15,4,smart,546,426,78.02197802197803,472.8755868544601,128.55164319248826,570.7096483550133,264.8735830521995,46.41126776385481,110158532.0
509,5,6,smart,524,269,51.335877862595424,1008.7397769516729,133.80669144981414,191.53135726600115,140.40969866868022,73.30898745403735,110158532.0
510,15,4,smart,545,427,78.34862385321101,479.0983606557377,127.66510538641687,570.3370690036828,261.41588634656927,45.83533151776976,878640559.0
511,20,8,smart,571,470,82.31173380035027,349.86382978723407,125.82553191489362,758.8472227201239,291.8880041340254,38.46465999937892,34346284.0
512,10,4,smart,550,379,68.9090909090909,646.2559366754617,125.01055408970976,381.53360395361796,218.44955165910494,57.2556517683987,350929302.0
513,20,6,smart,591,471,79.69543147208121,361.25053078556266,123.33970276008493,758.4191570563219,283.62726676593536,37.39716542324531,153354925.0
514,5,6,basic,568,284,50.0,1025.9647887323943,120.43661971830986,191.20847725790972,138.7005942925226,72.53893565892355,653495709.0
515,15,4,smart,553,399,72.15189873417721,377.82706766917295,126.52882205513785,570.414665646596,249.3537767927299,43.71447506702406,158944640.0
516,10,6,basic,567,345,60.84656084656085,632.4405797101449,111.59710144927536,380.26137995260206,178.17981422330325,46.85719445017335,187959148.0
517,15,4,basic,553,387,69.98191681735986,463.49612403100775,125.0,569.817915635824,241.0584943778752,42.304477932901285,158944640.0
518,10,4,smart,569,358,62.91739894551846,612.7374301675977,129.268156424581,381.3982252375317,216.64576710059214,56.80303492908676,8501172.0
519,15,4,smart,562,417,74.19928825622776,522.9952038369305,128.96163069544363,570.3186450603498,256.7403373044686,45.016998747656395,228056230.0
520,20,6,basic,556,433,77.87769784172663,473.99538106235565,127.31870669745959,757.7387311541609,259.19117036941043,34.20587594547525,358368805.0
521,10,4,smart,546,376,68.86446886446886,662.3617021276596,128.22340425531914,381.68799646088604,226.23123510761192,59.271246988453626,110158532.0
522,20,4,basic,565,438,77.5221238938053,362.01141552511416,130.2876712328767,758.5308226152539,280.625964967649,36.99598705825955,153044519.0
523,15,8,smart,574,447,77.87456445993031,445.20581655480987,122.55704697986577,570.145600636067,254.52480297434295,44.64207084828673,530467456.0
524,10,6,basic,568,376,66.19718309859155,568.3909574468086,118.76595744680851,380.8381514751459,207.27476965610472,54.42594678428162,930593199.0
525,5,6,basic,560,268,47.85714285714286,1026.0335820895523,119.66044776119404,191.3838099962313,134.92294763372658,70.49862140187484,534967818.0
526,20,8,basic,564,459,81.38297872340425,344.4945533769063,121.7516339869281,758.2951591374045,278.5094669084885,36.72837200033108,112043825.0
527,20,8,smart,564,472,83.68794326241135,401.7775423728813,125.32627118644068,758.5180876169534,294.7418643756959,38.8575920848098,112043825.0
528,10,4,basic,546,374,68.4981684981685,612.6042780748663,118.28877005347593,380.7805201233672,205.93764048375394,54.08302935692015,272813683.0
529,15,4,basic,548,402,73.35766423357664,475.4228855721393,130.66915422885572,570.132769104189,254.99762109786317,44.72600680338436,8501172.0
530,10,8,basic,547,385,70.38391224862889,599.1688311688312,124.0961038961039,381.5190199729407,221.15602100599796,57.96723346104303,119596844.0
531,20,4,smart,599,497,82.97161936560936,356.2796780684105,132.04828973843058,760.4295137824528,324.6416042687422,42.69187326172313,316514901.0
532,5,4,smart,552,284,51.449275362318836,975.4401408450705,125.80281690140845,191.5230078312561,145.77178170224036,76.1118903430519,316514901.0
533,10,8,basic,589,399,67.74193548387096,679.5814536340852,121.40100250626567,380.8471012083771,212.38185741490759,55.765648928677216,590926899.0
534,10,4,basic,552,374,67.7536231884058,714.1737967914438,120.60160427807487,381.0092500695258,207.36208908771545,54.42442382957275,597572982.0
535,5,6,smart,548,279,50.912408759124084,888.68458781362,119.57347670250896,191.20680557467136,134.83996107567805,70.52048208766266,433448262.0
536,20,4,smart,602,489,81.22923588039868,453.3701431492843,130.6237218813906,759.6995955910959,308.7737517478412,40.64419061689708,671082961.0
537,10,6,smart,599,401,66.9449081803005,619.3017456359103,120.14214463840399,381.5807699844303,218.0858141470648,57.15325071438044,367405145.0
538,15,4,smart,593,441,74.36762225969646,502.9024943310658,129.1814058956916,570.9411494739751,271.30884801972763,47.51958205669577,390126418.0
539,10,6,basic,563,348,61.811722912966246,718.8620689655172,126.14367816091954,380.56465108653015,198.6054838054282,52.18705500849858,708741215.0
540,10,8,smart,595,423,71.09243697478992,583.8936170212766,124.69976359338061,381.82474401498104,237.26155607916678,62.13886339169724,470148314.0
541,20,4,basic,584,481,82.36301369863014,404.77130977130975,130.47817047817048,759.063097766003,302.5343303282553,39.85628220086623,274970204.0
542,15,6,basic,541,392,72.45841035120148,496.41326530612247,131.40561224489795,532.8521148455355,238.14230190452557,44.69200651921197,676261138.0
543,15,6,basic,553,405,73.23688969258589,502.358024691358,124.01481481481481,569.5065922475602,240.7696921554877,42.27689291625038,305489378.0
544,10,8,basic,537,354,65.92178770949721,575.2146892655368,118.75141242937853,380.99215500091515,204.33406826907634,53.632093361236144,738646825.0
545,5,4,basic,547,264,48.263254113345525,916.3939393939394,124.63257575757575,191.46743779144347,143.04780769602695,74.7112978301001,110158532.0
