,Number of Tricycles,Number of Sectors,Intersection Algorithm,Number of Passengers,Total Trips Completed,Completion Rate,Average Wait Time,Average Travel Time,Total Distance,Productive Distance,Efficiency Percentage
120,10,8,basic,563,379,67.31793960923623,635.1767810026386,118.00263852242745,381.1912946347368,205.93142780213992,54.023119284365215
121,5,4,basic,539,263,48.79406307977737,1000.277566539924,124.60456273764258,191.4069284504995,133.86206212478643,69.93584987149775
122,5,6,basic,547,272,49.725776965265084,1031.3235294117646,121.7279411764706,191.5591257388809,138.33493205591546,72.21526592498824
123,5,8,smart,565,276,48.849557522123895,928.9347826086956,111.31159420289855,191.03445294701498,133.40082979888348,69.83077017834229
124,15,8,smart,563,442,78.50799289520425,451.2126696832579,123.47511312217195,570.8453025489758,258.74695011903145,45.32698245280423
125,20,4,smart,577,469,81.28249566724438,383.19189765458424,129.08955223880596,759.6899096359408,298.3297173565354,39.269932846613855
126,5,4,smart,568,285,50.176056338028175,1001.3859649122807,123.74385964912281,191.49342760023487,146.758480141694,76.63891235372823
127,10,4,basic,590,379,64.23728813559322,660.6279683377309,121.43007915567283,381.58566142260213,212.53448015909936,55.69771132561494
128,10,8,smart,603,413,68.49087893864014,683.547215496368,116.23002421307505,381.3303480940653,222.18539294991172,58.265856378969275
129,20,4,smart,575,478,83.1304347826087,370.4686192468619,127.86610878661088,759.5660208800476,307.47934441748464,40.48092410205939
130,15,4,smart,565,452,80.0,492.6637168141593,135.56858407079645,570.8867233797635,270.16891950588524,47.32443555639747
131,15,4,smart,579,459,79.27461139896373,471.7276688453159,129.18082788671023,571.3917442574178,277.54100069314904,48.57280551959008
132,10,8,smart,565,385,68.14159292035397,616.0675324675325,117.73766233766234,381.09729169886293,211.3455793353126,55.45711920259841
133,15,4,smart,608,468,76.97368421052632,475.5149572649573,127.69017094017094,570.8117913142029,278.7727828207888,48.83795097837048
134,10,8,smart,549,371,67.57741347905282,590.3827493261456,121.47169811320755,381.3598422654121,212.45366028319114,55.709499726332325
135,20,4,basic,544,431,79.22794117647058,396.7819025522042,132.6264501160093,758.1713764044806,277.5788603300897,36.611624887036456
136,10,6,smart,538,379,70.4460966542751,608.2849604221636,127.07387862796834,380.99764100536976,209.36681714921116,54.95226075330486
137,5,8,basic,577,295,51.12651646447141,940.1084745762712,121.93898305084745,191.64767352103186,146.33037745582047,76.35385014979681
138,20,6,basic,563,438,77.797513321492,456.2716894977169,123.94063926940639,757.8609550989689,261.4617017627868,34.499956753761325
139,15,4,basic,506,382,75.49407114624506,526.0287958115183,126.8586387434555,570.0200174074809,235.7583023242541,41.35965319191965
140,5,6,basic,531,288,54.23728813559322,914.0659722222222,124.59722222222223,191.14119987156778,138.5564978956936,72.48908031800205
141,20,4,smart,502,411,81.87250996015936,366.8540145985401,127.18978102189782,758.9265915586803,265.9390037599272,35.041466028188935
142,15,6,smart,586,434,74.06143344709898,407.08294930875576,120.6589861751152,570.1436214054648,257.0523219501125,45.085538502816384
143,10,6,smart,544,374,68.75,674.0802139037434,128.30213903743316,381.37428496079997,216.6952531033516,56.81957637118216
