,Number of Tricycles,Number of Sectors,Intersection Algorithm,Number of Passengers,Total Trips Completed,Completion Rate,Average Wait Time,Average Travel Time,Total Distance,Productive Distance,Efficiency Percentage
174,5,6,smart,542,273,50.3690036900369,1040.805860805861,135.14285714285714,191.51500892555575,142.04041313015819,74.16672663256959
175,20,6,smart,546,447,81.86813186813187,322.93959731543623,126.36241610738254,758.77702383605,284.93620092027663,37.552033333819445
176,15,4,basic,563,425,75.48845470692717,443.1764705882353,125.73176470588236,570.7388505955478,258.7540105618031,45.33667373296939
177,5,8,smart,562,288,51.245551601423486,918.3402777777778,112.78472222222223,191.32973171953736,143.38526745606245,74.9414459359851
178,5,8,smart,558,298,53.40501792114696,1019.7248322147651,127.13087248322148,191.36430433453603,143.02843270513836,74.74143790949712
179,15,8,basic,559,422,75.49194991055455,422.37914691943126,118.59478672985782,569.805110794349,246.39448235257083,43.24188703907541
180,15,6,smart,542,407,75.09225092250922,534.3955773955774,126.07371007371007,569.9894853755001,238.19696167129902,41.789711526762396
181,10,4,basic,555,364,65.58558558558558,611.5412087912088,125.9065934065934,381.2373374712286,207.87417290260686,54.526184208884
182,5,6,basic,547,275,50.27422303473492,1023.5418181818181,122.58545454545454,191.38025183384127,142.8260082096062,74.62943895256734
183,20,4,basic,555,459,82.70270270270271,402.30501089324616,130.5599128540305,759.3512861115219,300.8432714328727,39.61845814121522
184,15,8,smart,559,425,76.02862254025044,411.8235294117647,119.45647058823529,570.21664389275,251.3522697917049,44.080135591233436
185,15,6,basic,549,412,75.0455373406193,399.2111650485437,126.86650485436893,569.3896006069101,242.94891620062197,42.66830935121816
186,10,8,smart,563,386,68.56127886323267,668.5725388601036,120.67875647668394,381.64271321450644,219.5626088376784,57.530931741980055
187,5,6,smart,547,280,51.18829981718464,1104.7107142857142,125.33571428571429,191.4811738782445,139.39821417757537,72.79995800851593
188,20,4,basic,557,459,82.40574506283662,394.5686274509804,133.30936819172112,758.8806625244966,289.55724599705326,38.15583401925284
189,15,4,smart,563,436,77.44227353463587,498.73394495412845,130.78440366972478,571.2918220164029,276.2600325466948,48.357078099179034
190,15,6,smart,547,412,75.3199268738574,412.4757281553398,121.15291262135922,569.9336337814938,245.77232434240284,43.122972531329715
191,15,6,smart,547,412,75.3199268738574,418.8907766990291,125.77669902912622,570.4718254295932,252.20333075488068,44.20960326392267
192,20,8,smart,559,467,83.54203935599284,313.93790149892936,124.07066381156316,759.2423702723345,288.9935599214563,38.06341311244215
193,10,4,basic,556,373,67.08633093525181,588.9276139410188,124.05630026809652,381.2893361566,216.1247206272653,56.68260298224034
194,20,6,basic,547,426,77.87934186471664,348.49530516431923,127.44131455399061,757.6582079895988,260.8160437342483,34.423971255628345
195,20,6,smart,542,446,82.28782287822878,353.085201793722,129.0134529147982,758.4221473628859,282.1344938848347,37.20019185434473
196,15,8,smart,564,437,77.48226950354609,363.03661327231123,121.49656750572082,570.580404919081,260.84739969874954,45.716151036722444
197,5,4,smart,555,285,51.35135135135135,1035.919298245614,123.13684210526316,191.38902548374145,140.60345667754464,73.4647435098043
198,20,8,basic,562,429,76.33451957295374,350.5827505827506,118.93006993006993,757.9517988122053,259.2558384615259,34.20479229257172
199,10,8,smart,558,399,71.50537634408603,590.0300751879699,123.35338345864662,381.36050850557905,222.90016452935936,58.448675087734856
