,Number of Tricycles,Number of Sectors,Intersection Algorithm,Number of Passengers,Total Trips Completed,Completion Rate,Average Wait Time,Average Travel Time,Total Distance,Productive Distance,Efficiency Percentage
204,10,4,basic,558,377,67.56272401433692,574.3315649867374,119.75331564986737,380.83713906523695,209.4167031107455,54.98851914095296
205,5,6,basic,542,274,50.55350553505535,1036.4379562043796,119.86131386861314,191.45582730178432,141.30794673412515,73.80707535811221
206,10,4,smart,553,374,67.63110307414105,644.7219251336899,122.16310160427807,381.40510733524223,217.32154013727123,56.979189831942364
207,5,8,basic,558,290,51.971326164874554,1063.048275862069,124.62758620689655,191.15855318461044,140.22559515758493,73.35564787528118
208,20,4,basic,559,450,80.50089445438283,357.62444444444446,125.98222222222222,758.0159800553922,279.76979334008695,36.90816561936368
209,20,4,smart,559,478,85.5098389982111,372.5271966527197,131.29916317991632,759.6789730148686,308.16911056506734,40.56570229159624
210,5,8,smart,556,270,48.561151079136685,879.6777777777778,110.10740740740741,191.47571150808236,136.3907732643751,71.23137038643041
211,5,6,smart,542,263,48.523985239852394,1212.0760456273765,117.84790874524715,191.33795853458247,132.67365020005278,69.3399528332865
212,10,8,basic,559,366,65.47406082289802,621.7704918032787,113.06284153005464,380.46381716025246,196.9088024324672,51.75493530559008
213,15,4,basic,559,437,78.175313059034,597.6681922196797,129.64302059496566,570.8721248631194,265.344973773782,46.480632389855245
214,15,4,basic,559,426,76.20751341681574,456.57511737089203,124.23474178403755,570.3863718120845,257.6271390438987,45.16712736761788
215,20,8,basic,560,448,80.0,327.2611607142857,118.86160714285714,757.7330396688066,263.71737139084047,34.803467393490884
216,10,6,basic,545,366,67.1559633027523,536.5054644808744,122.28415300546447,381.2993993294284,206.8367918141206,54.24524459725713
217,20,4,smart,556,479,86.15107913669064,371.07933194154487,130.5135699373695,760.1019231391602,307.07998003948995,40.39984253312689
218,20,6,smart,543,423,77.90055248618785,359.45626477541373,126.09929078014184,758.3068991890111,264.9509576938969,34.93980576693353
219,5,6,basic,542,270,49.815498154981555,938.5518518518519,123.45555555555555,191.32390272635845,138.08985745406588,72.17595683879043
